symptom_id,symptom_name,symptom_name_te,category,severity,body_part,description
1,chest pain,ఛాతి నొప్పి,cardiovascular,high,chest,Pain or pressure in the chest area
2,skin rash,చర్మంపై దద్దుర్లు,dermatological,mild,skin,"Red, itchy bumps or dry skin patches"
3,eye pain,కంటి నొప్పి,ophthalmological,medium,eyes,"Soreness, irritation or redness in eyes"
4,ear pain,చెవి నొప్పి,ent,mild,ears,Pain or throbbing sensation inside the ear
5,tooth pain,పంటి నొప్పి,dental,mild,mouth,Toothache or sensitive gums
6,joint pain,కీళ్ల నొప్పులు,musculoskeletal,medium,joints,"Stiffness, swelling or pain in joints"
7,pregnancy,గర్భం,gynecological,medium,pelvis,"Missed periods, nausea or prenatal support"
8,child health,పిల్లల జ్వరం,pediatric,medium,general,General wellness for pediatric patients
9,mental stress,మానసిక ఒత్తిడి,psychiatric,medium,brain,"Anxiety, sleep issues, or depression"
10,stomach pain,కడుపు నొప్పి,gastrointestinal,medium,abdomen,"Acidity, stomach ache, bloating or nausea"
11,kidney pain,మూత్రపిండాల నొప్పి,renal,high,back,Flank pain or burning urination
12,breathing difficulty,శ్వాస తీసుకోవడంలో ఇబ్బంది,respiratory,high,lungs,"Shortness of breath, wheezing, or dry cough"
13,fever,జ్వరం,general,medium,general,High body temperature or flu symptoms
14,headache,తలనొప్పి,neurological,medium,head,Migraine or tension headaches
