intent,pattern,response,response_te,language,category
greeting,hello,Hello! I am your AI Medical Assistant. How can I help you today?,నమస్కారం! నేను మీ వైద్య సహాయకుడిని. ఈరోజు నేను మీకు ఎలా సహాయపడగలను?,en,general
greeting,hi,Hello! How can I help you with your symptoms today?,నమస్కారం! మీ ఆరోగ్య సమస్యలను వివరించండి. నేను మీకు సహాయం చేస్తాను.,en,general
greeting,hey,Hi there! Please tell me what symptoms or health concerns you are experiencing.,హాయ్! మీకు ఉన్న ఆరోగ్య సమస్యల గురించి చెప్పండి.,en,general
greeting,good morning,Good morning! I am here to help you. What symptoms are you experiencing?,శుభోదయం! మీ ఆరోగ్య సమస్యలేమిటో చెప్పండి.,en,general
greeting,good afternoon,Good afternoon! How can I assist you with your health concerns today?,మధ్యాహ్న వందనం! ఈరోజు మీ ఆరోగ్యానికి సంబంధించి నేను ఏవిధంగా సహాయపడగలను?,en,general
greeting,good evening,Good evening! What symptoms or health concerns can I help you evaluate?,శుభసాయంత్రం! మీకు ఉన్న ఆరోగ్య సమస్యల గురించి నాతో పంచుకోండి.,en,general
greeting,namaste,Namaste! I am your AI Medical Assistant. Please tell me your symptoms.,నమస్తే! నేను మీ ఏఐ వైద్య సహాయకుడిని. దయచేసి మీ లక్షణాలను తెలియజేయండి.,en,general
greeting,anyone there,Hello! Yes I am here. How can I assist you with your health today?,హలో! నేను ఇక్కడే ఉన్నాను. ఈరోజు మీ ఆరోగ్యానికి సంబంధించి నేను ఏవిధంగా సహాయపడగలను?,en,general
greeting,namaskaram,Hello! Namaskaram. How can I help you with your health concerns today?,హలో! నమస్కారం. ఈరోజు మీ ఆరోగ్య సమస్యలకు సంబంధించి నేను ఏవిధంగా సహాయపడగలను?,en,general
greeting,naku help kavali,Hello! I am here to help you. Please tell me what symptoms you have.,హలో! నేను మీకు సహాయం చేయడానికి సిద్ధంగా ఉన్నాను. దయచేసి మీ లక్షణాలను చెప్పండి.,te,general
farewell,bye,Goodbye! Take care of your health and consult a doctor if symptoms persist.,వెళ్లి వస్తాను! మీ ఆరోగ్యాన్ని జాగ్రత్తగా చూసుకోండి మరియు అవసరమైతే వైద్యుడిని సంప్రదించండి.,en,general
farewell,goodbye,Goodbye! Wishing you a speedy recovery. Feel free to chat if you feel unwell again.,సెలవు! మీరు త్వరగా కోలుకోవాలని కోరుకుంటున్నాను.,en,general
farewell,thanks bye,You are welcome! Take care and goodbye.,ధన్యవాదాలు! సెలవు.,en,general
farewell,see you,Goodbye! Take care and stay healthy.,సెలవు! ఆరోగ్యంగా ఉండండి.,en,general
farewell,tata,Goodbye! Have a healthy day ahead.,వెళ్లి వస్తాను! శుభదినం.,en,general
thanks,thank you,You are welcome! I am glad I could help. Please consult a doctor for official advice.,మీకు స్వాగతం! నేను సహాయపడగలిగినందుకు సంతోషిస్తున్నాను. దయచేసి అధికారిక సలహా కోసం వైద్యుడిని సంప్రదించండి.,en,general
thanks,thanks,You are welcome! Stay healthy and take care.,మీకు స్వాగతం! ఆరోగ్యంగా ఉండండి.,en,general
thanks,thank you so much,It is my pleasure to help. Let me know if you need anything else.,సహాయపడటం నా బాధ్యత. మీకు ఇంకేమైనా సహాయం కావాలంటే చెప్పండి.,en,general
thanks,thanks helper,Glad to assist! Keep tracking your health.,సహాయపడగలిగినందుకు సంతోషంగా ఉంది. మీ ఆరోగ్యం జాగ్రత్త.,en,general
thanks,dhanyavadalu,You are welcome! (ధన్యవాదాలు!) Take care of your health.,ధన్యవాదాలు! మీ ఆరోగ్యాన్ని జాగ్రత్తగా చూసుకోండి.,te,general
thanks,chala thanks,You are welcome! Glad to help. (చాలా ధన్యవాదాలు!),ధన్యవాదాలు! సహాయపడగలిగినందుకు సంతోషంగా ఉంది.,te,general
emergency,chest pain,Warning: Chest pain can be a sign of a cardiac emergency. Please go to the nearest hospital immediately.,హెచ్చరిక: ఛాతీ నొప్పి గుండెపోటుకు సంకేతం కావచ్చు. దయచేసి వెంటనే సమీప ఆసుపత్రికి వెళ్ళండి.,en,emergency
emergency,heart attack,Warning: Severe chest pain and numbness can indicate a heart attack. Please call emergency services now.,హెచ్చరిక: తీవ్రమైన ఛాతీ నొప్పి మరియు తిమ్మిరి గుండెపోటును సూచించవచ్చు. దయచేసి వెంటనే అత్యవసర సేవలను సంప్రదించండి.,en,emergency
emergency,breathing difficulty,Warning: Difficulty breathing is a serious symptom. Please seek emergency medical care immediately.,హెచ్చరిక: శ్వాస తీసుకోవడంలో ఇబ్బంది అనేది తీవ్రమైన లక్షణం. దయచేసి వెంటనే అత్యవసర వైద్య సహాయం తీసుకోండి.,en,emergency
emergency,unconscious,Warning: Loss of consciousness is a critical emergency. Please call an ambulance immediately.,హెచ్చరిక: స్పృహ తప్పడం అనేది అత్యవసర పరిస్థితి. దయచేసి వెంటనే అంబులెన్స్ పిలవండి.,en,emergency
emergency,severe bleeding,Warning: Uncontrolled or severe bleeding requires immediate medical attention. Please go to the ER.,హెచ్చరిక: తీవ్రమైన రక్తస్రావం కోసం వెంటనే అత్యవసర వైద్య సహాయం అవసరం.,en,emergency
emergency,seizure,Warning: Active or recent seizures require urgent medical care. Please protect the patient and call ER.,హెచ్చరిక: ఫిట్స్ (మూర్ఛ) రావడం అత్యవసర పరిస్థితి. దయచేసి వెంటనే వైద్య సహాయం తీసుకోండి.,en,emergency
emergency,stroke,Warning: Face drooping arm weakness or speech difficulty are signs of a stroke. Go to ER immediately.,హెచ్చరిక: ముఖం పక్కకుపోవడం మరియు మాట పడిపోవడం పక్షవాతం యొక్క లక్షణాలు. వెంటనే అత్యవసర చికిత్స తీసుకోండి.,en,emergency
emergency,gunde noppi,Warning: Chest pain (Gunde noppi) is a major emergency. Go to the hospital immediately.,హెచ్చరిక: ఛాతీ నొప్పి (గుండె నొప్పి) అత్యవసర పరిస్థితి. వెంటనే ఆసుపత్రికి వెళ్ళండి.,te,emergency
emergency,oopiri adaledu,Warning: Breathing difficulty (Oopiri adaledu) is a severe emergency. Go to ER.,హెచ్చరిక: శ్వాస ఆడకపోవడం తీవ్రమైన అత్యవసర పరిస్థితి. వెంటనే అత్యవసర చికిత్స తీసుకోండి.,te,emergency
symptom_report,i have fever,I understand you have a fever. How long have you had this elevated temperature?,మీకు జ్వరం ఉందని నేను అర్థం చేసుకున్నాను. ఈ జ్వరం ఎంతకాలంగా ఉంది?,en,symptom
