phrase,standard,category
head hurts,headache,symptom
pain in head,headache,symptom
throbbing head,headache,symptom
bad headache,headache,symptom
migraine attack,migraine,symptom
high temperature,fever,symptom
running temperature,fever,symptom
feverish,fever,symptom
hot forehead,fever,symptom
coughing,cough,symptom
dry cough,cough,symptom
hack cough,cough,symptom
cough with mucus,phlegm,symptom
wet cough,phlegm,symptom
nose is running,runny nose,symptom
runny nose,runny nose,symptom
sneezing,sneezing,symptom
sore throat,sore throat,symptom
throat pain,sore throat,symptom
hard to breathe,shortness of breath,symptom
difficulty breathing,shortness of breath,symptom
breathless,shortness of breath,symptom
chest pain,chest pain,symptom
pain in chest,chest pain,symptom
heart is racing,palpitations,symptom
racing heartbeat,palpitations,symptom
heart fluttering,palpitations,symptom
dizzy,dizziness,symptom
feeling dizzy,dizziness,symptom
lightheaded,dizziness,symptom
nauseous,nausea,symptom
feeling sick,nausea,symptom
urge to vomit,nausea,symptom
vomiting,vomiting,symptom
throwing up,vomiting,symptom
sick to stomach,vomiting,symptom
stomach hurts,stomach pain,symptom
belly pain,stomach pain,symptom
abdominal pain,stomach pain,symptom
cramps in stomach,stomach pain,symptom
diarrhea,diarrhea,symptom
watery stools,diarrhea,symptom
loose motions,diarrhea,symptom
constipated,constipation,symptom
hard to pass stool,constipation,symptom
fatigue,fatigue,symptom
extremely tired,fatigue,symptom
exhausted,fatigue,symptom
feeling weak,fatigue,symptom
body aches,body pain,symptom
muscle pain,body pain,symptom
sore muscles,body pain,symptom
joint hurts,joint pain,symptom
pain in joints,joint pain,symptom
swollen feet,swollen feet,symptom
feet are swollen,swollen feet,symptom
rash on skin,skin rash,symptom
skin rash,skin rash,symptom
itchy skin,itching,symptom
can't sleep,insomnia,symptom
trouble sleeping,insomnia,symptom
sleeplessness,insomnia,symptom
anxious,anxiety,symptom
losing weight,weight loss,symptom
weight loss,weight loss,symptom
hair falling out,hair loss,symptom
hair loss,hair loss,symptom
back hurts,back pain,symptom
lower back pain,back pain,symptom
neck hurts,neck pain,symptom
stiff neck,stiff neck,symptom
muscle cramp,muscle cramps,symptom
numbness,numbness,symptom
tingling,numbness,symptom
blurry vision,blurred vision,symptom
ear hurts,ear pain,symptom
earache,ear pain,symptom
hearing problem,hearing loss,symptom
tooth hurts,toothache,symptom
toothache,toothache,symptom
bleeding gums,bleeding gums,symptom
bad breath,bad breath,symptom
dry mouth,dry mouth,symptom
feeling cold,chills,symptom
shivering,chills,symptom
sweating,sweating,symptom
no appetite,loss of appetite,symptom
indigestion,heartburn,symptom
bloated,bloating,symptom
bloating,bloating,symptom
gas problem,flatulence,symptom
acid reflux,acid reflux,symptom
dry skin,dry skin,symptom
red skin,red skin,symptom
double vision,double vision,symptom
urinated a lot,frequent urination,symptom
peeing often,frequent urination,symptom
painful urination,painful urination,symptom
burning when peeing,painful urination,symptom
blood in pee,blood in urine,symptom
seizure,seizure,symptom
fits,seizure,symptom
fainted,fainting,symptom
passed out,fainting,symptom
confused,confusion,symptom
forgetting things,memory loss,symptom
depressed,depression,symptom
tremor,tremor,symptom
shaking hands,tremor,symptom
nose bleeding,nosebleed,symptom
difficulty swallowing,difficulty swallowing,symptom
chest tightness,chest tightness,symptom
dark pee,dark urine,symptom
yellow eyes,yellow eyes,symptom
yellow skin,yellow skin,symptom
severe itching,severe itching,symptom
blisters on skin,skin blisters,symptom
bruise easily,easy bruising,symptom
excessive thirst,excessive thirst,symptom
always thirsty,excessive thirst,symptom
always hungry,excessive hunger,symptom
hives,hives,symptom
night sweats,night sweats,symptom
apnea,sleep apnea,symptom
snoring,snoring,symptom
irritated,irritability,symptom
mood swings,mood swings,symptom
panic attack,panic attacks,symptom
seeing things,hallucinations,symptom
abdominal swelling,abdominal distension,symptom
wetting the bed,urinary incontinence,symptom
burning eyes,burning eyes,symptom
dry eyes,dry eyes,symptom
sneezing fit,sneezing attacks,symptom
cannot smell,loss of smell,symptom
cannot taste,loss of taste,symptom
weak body,body weakness,symptom
