phrase,standard,category
heart hurts,chest pain,symptom
chest hurts,chest pain,symptom
stomach hurts,stomach pain,symptom
rash on skin,skin rash,symptom
eyes hurt,eye pain,symptom
toothache,tooth pain,symptom
back hurts,joint pain,symptom
missed period,pregnancy,symptom
child sick,child health,symptom
feeling depressed,mental stress,symptom
kidney hurts,kidney pain,symptom
short of breath,breathing difficulty,symptom
high temp,fever,symptom
head hurts,headache,symptom
nauseous,stomach pain,symptom
coughing,breathing difficulty,symptom
